gene,q,q_TSG_20_20,q_TSG_TUSCON,score_iSTOP,score_TUSCON,score_20_20,TSG_iSTOP,TSG_TUSCON,TSG_20_20,TSG_CGC
ABI1,0.32562391175343136,0.93078654214,1,0.4872837107814121,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
ACVR1B,0.03706158495602267,0.272511848341,0.00553861239624561,1.4310760118132368,2.2565990266319313,0.5646146106084322,FALSE,TRUE,FALSE,FALSE
ACVR2A,0.11837070724530147,0.219553072626,0.0106733270453225,0.926755757542904,1.9717001829935843,0.6584604806038697,FALSE,TRUE,FALSE,TRUE
AJUBA,0.035375728792467545,0.036923076923,5.14674214476891e-5,1.4512946042652,4.288467589649424,1.4327021149321544,FALSE,TRUE,TRUE,FALSE
ALDH2,0.3705427294333968,0.93078654214,1,0.4311617037787659,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
AMBRA1,0.20264589705629169,0.0727272727272,0.00656709517897438,0.6932621849341349,2.182626689300373,1.1383026981667157,FALSE,TRUE,TRUE,FALSE
ANK3,4.478692285002562e-5,0.93078654214,1,4.348848775357546,-0,0.03114990462530433,TRUE,FALSE,FALSE,FALSE
APC,1.7051048408077025e-107,0,2.40193650360539e-86,106.7682489126337,85.61943847757354,Inf,TRUE,TRUE,TRUE,TRUE
APOBEC3B,1,0.934070568871,1,-0,-0,0.029620311656922537,FALSE,FALSE,FALSE,TRUE
ARHGAP26,0.25141121183532356,0.93078654214,1,0.5996153585926303,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
ARHGAP35,1.4971572947573785e-6,0.00294117647059,1.7588609587186e-19,5.824732569291873,18.75476849098482,2.5314789170419947,TRUE,TRUE,TRUE,FALSE
ARHGEF12,0.30279741947166644,0.93078654214,1,0.5188478303410241,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
ARID1A,2.830717807535239e-65,0,5.45250058038829e-88,64.54810342301879,87.26340427952103,Inf,TRUE,TRUE,TRUE,TRUE
ARID1B,0.0015223064555942554,0.0233333333333,1.84670744929568e-5,2.8174979109187586,4.7336018989397,1.632023214706026,FALSE,TRUE,TRUE,TRUE
ARID2,1.1776128315246255e-18,0.00294117647059,3.04111419696135e-21,17.928997470814,20.516967271345845,2.5314789170419947,TRUE,TRUE,TRUE,TRUE
ARID4B,0.3147495958835091,0.0220338983051,0.0275297055210067,0.5020348188235143,1.560198434131037,1.6569086593350066,FALSE,FALSE,TRUE,FALSE
ARNT,0.6379381766319141,0.93078654214,1,0.19522140724840129,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
